#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
720 Degrees (USA);720 Degrees (USA);Commodore 64;;1988;Mindscape, Inc.;Sports/Skateboarding;;;;;0;;;;;
720 Degrees Part 2 (USA) (Unl);720 Degrees Part 2 (USA) (Unl);Commodore 64;;1987;Chris Butler & Paul Lebrasse;Sports/Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);Arcade;;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);Arcade;;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);Final Burn Alpha;;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Advance);;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Advance);;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Libretro);;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Libretro);;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Mame4all);;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);MAME (Mame4all);;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);Arcade;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);Final Burn Alpha;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Advance);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Libretro);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Libretro);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Mame4all);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);MAME (Mame4all);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);Arcade;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);Final Burn Alpha;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Advance);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Libretro);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Libretro);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Mame4all);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);MAME (Mame4all);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);Arcade;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);Final Burn Alpha;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Advance);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Libretro);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Libretro);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Mame4all);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);MAME (Mame4all);720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r2;720 Degrees (rev 2);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r2;720 Degrees (rev 2);Arcade;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r2;720 Degrees (rev 2);Final Burn Alpha;720;1986;Atari Games;Sports/Skateboarding;;;;;0;;;;;
720r2;720 Degrees (rev 2);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
